transfer date,month,day,transfer season,from club name,to club name,transfer fee,market value,player name,country,position,team,league,age,birth year,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
2024,7,18,24/25,Man Utd,Marseille,26000000,25000000,Mason Greenwood,ENG,"MF,FW",Getafe,es La Liga,21,2001,33,30,2662,29.6,8,6,14,6,2,3,6,1,8.8,6.4,4.6,11,127,89,239,0.27,0.2,0.47,0.2,0.41,0.3,0.15,0.45,0.22,0.37
2024,7,30,24/25,Juventus,AS Roma,25600000,25000000,Matías Soulé,ARG,"FW,MF",Frosinone,it Serie A,20,2003,36,36,3121,34.7,11,3,14,6,5,6,4,0,10.5,5.7,6.6,12.3,115,198,211,0.32,0.09,0.4,0.17,0.26,0.3,0.19,0.49,0.17,0.36
2025,1,14,24/25,Bor. Dortmund,Aston Villa,25000000,28000000,Donyell Malen,NED,"FW,MF",Dortmund,de Bundesliga,24,1999,27,21,1781,19.8,13,1,14,13,0,0,5,0,9.5,9.5,3,12.5,73,57,163,0.66,0.05,0.71,0.66,0.71,0.48,0.15,0.63,0.48,0.63
2024,7,30,24/25,Villarreal,Chelsea,24500000,20000000,Filip Jørgensen,DEN,GK,Villarreal,es La Liga,21,2002,36,36,3240,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,15,24/25,Aston Villa,Ipswich,23700000,15000000,Jaden Philogene,ENG,FW,Aston Villa,eng Premier League,21,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2024,8,22,24/25,Liverpool,Brentford,23600000,12000000,Sepp van den Berg,NED,DF,Mainz 05,de Bundesliga,21,2001,33,31,2839,31.5,3,0,3,3,0,0,9,0,2.7,2.7,0.3,3,7,95,6,0.1,0,0.1,0.1,0.1,0.08,0.01,0.09,0.08,0.09
2024,7,1,24/25,Nottm Forest,Newcastle,23600000,7000000,Odysseas Vlachodimos,GRE,GK,Nott'ham Forest,eng Premier League,29,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01
2024,8,22,24/25,Burnley,Fulham,23550000,20000000,Sander Berge,NOR,MF,Burnley,eng Premier League,25,1998,37,34,3005,33.4,1,2,3,1,0,0,10,1,1.9,1.9,2.4,4.3,64,164,29,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13
2024,8,19,24/25,Tottenham,Leicester,23500000,15000000,Oliver Skipp,ENG,"MF,DF",Tottenham,eng Premier League,22,2000,21,5,707,7.9,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.3,8,37,25,0,0,0,0,0,0.09,0.07,0.16,0.09,0.16
2024,7,1,24/25,VfB Stuttgart,Bayern Munich,23500000,30000000,Hiroki Ito,JPN,DF,Stuttgart,de Bundesliga,24,1999,26,25,2228,24.8,0,2,2,0,0,0,1,0,0.9,0.9,2,2.9,29,121,32,0,0.08,0.08,0,0.08,0.04,0.08,0.12,0.04,0.12
2024,8,12,24/25,Liverpool,Brentford,23400000,14000000,Fábio Carvalho,POR,MF,RB Leipzig,de Bundesliga,20,2002,9,1,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,8,9,13,0,0,0,0,0,0.12,0.13,0.25,0.12,0.25
2024,7,2,24/25,Nottm Forest,Olympique Lyon,23400000,20000000,Orel Mangala,BEL,MF,Nott'ham Forest,eng Premier League,25,1998,20,19,1563,17.4,1,0,1,1,0,0,6,0,0.8,0.8,0.2,1.1,13,45,14,0.06,0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06
2024,7,1,24/25,Leeds,Bournemouth,23400000,17000000,Luis Sinisterra,COL,"FW,MF",Bournemouth,eng Premier League,24,1999,20,7,699,7.8,2,2,4,2,0,0,0,0,2.5,2.5,2.4,5,51,38,85,0.26,0.26,0.52,0.26,0.52,0.33,0.31,0.64,0.33,0.64
2024,7,10,24/25,Stade Rennais,AS Roma,23000000,18000000,Enzo Le Fée,FRA,MF,Rennes,fr Ligue 1,23,2000,25,19,1527,17,0,1,1,0,0,0,3,0,0.5,0.5,1.8,2.3,45,124,58,0,0.06,0.06,0,0.06,0.03,0.11,0.14,0.03,0.14
2024,7,1,24/25,AC Milan,Atalanta BC,22700000,34000000,Charles De Ketelaere,BEL,"FW,MF",Atalanta,it Serie A,22,2001,35,25,2026,22.5,10,8,18,9,1,1,1,0,7.1,6.3,6.1,12.4,88,126,219,0.44,0.36,0.8,0.4,0.76,0.31,0.27,0.59,0.28,0.55
2024,7,8,24/25,VfB Stuttgart,Bor. Dortmund,22500000,20000000,Waldemar Anton,GER,DF,Stuttgart,de Bundesliga,27,1996,33,32,2886,32.1,0,3,3,0,0,0,7,0,1.7,1.7,1,2.7,38,172,15,0,0.09,0.09,0,0.09,0.05,0.03,0.09,0.05,0.09
2024,7,1,24/25,Aston Villa U21,Chelsea,22500000,1000000,Omari Kellyman,ENG,FW,Aston Villa,eng Premier League,17,2005,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,0,0,0,0,0,0,0.17,0,0.17,0.17,0.17
2024,8,30,24/25,Arsenal,Southampton,21400000,25000000,Aaron Ramsdale,ENG,GK,Arsenal,eng Premier League,25,1998,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2024,7,16,24/25,FC Augsburg,VfB Stuttgart,21000000,28000000,Ermedin Demirovic,BIH,"FW,MF",Augsburg,de Bundesliga,25,1998,33,33,2873,31.9,15,9,24,12,3,4,7,0,13.5,10.3,3.9,14.2,28,60,167,0.47,0.28,0.75,0.38,0.66,0.42,0.12,0.54,0.32,0.45
2024,8,8,24/25,Genoa,Atalanta BC,20900000,16000000,Mateo Retegui,ITA,FW,Genoa,it Serie A,24,1999,29,26,2216,24.6,7,2,9,6,1,1,5,0,5.8,5,0.7,5.8,18,17,112,0.28,0.08,0.37,0.24,0.32,0.24,0.03,0.27,0.2,0.24
2024,7,10,24/25,OGC Nice,Juventus,20600000,35000000,Khéphren Thuram,FRA,MF,Nice,fr Ligue 1,22,2001,27,25,2108,23.4,1,1,2,1,0,0,7,0,3.4,3.4,3.7,7,67,104,57,0.04,0.04,0.09,0.04,0.09,0.14,0.16,0.3,0.14,0.3
2025,1,9,24/25,Stade Reims,Wolves,20000000,10000000,Emmanuel Agbadou,CIV,DF,Reims,fr Ligue 1,26,1997,32,29,2596,28.8,1,1,2,1,0,0,1,0,2.4,2.4,1.5,3.8,42,179,19,0.03,0.03,0.07,0.03,0.07,0.08,0.05,0.13,0.08,0.13
2024,8,22,24/25,Torino,Atalanta BC,20000000,15000000,Raoul Bellanova,ITA,DF,Torino,it Serie A,23,2000,37,36,3046,33.8,1,7,8,1,0,0,5,0,2,2,5,7.1,141,98,202,0.03,0.21,0.24,0.03,0.24,0.06,0.15,0.21,0.06,0.21
2024,8,17,24/25,Monaco,AC Milan,20000000,30000000,Youssouf Fofana,FRA,MF,Monaco,fr Ligue 1,24,1999,32,31,2697,30,4,4,8,4,0,0,3,0,5,5,3.4,8.4,53,249,86,0.13,0.13,0.27,0.13,0.27,0.17,0.11,0.28,0.17,0.28
2024,7,18,24/25,Stade Rennais,B. Leverkusen,20000000,20000000,Martin Terrier,FRA,"FW,MF",Rennes,fr Ligue 1,26,1997,24,19,1527,17,7,3,10,7,0,0,2,1,5.2,5.2,2.6,7.8,28,58,112,0.41,0.18,0.59,0.41,0.59,0.31,0.15,0.46,0.31,0.46
2024,7,30,24/25,Olympique Lyon,Everton,19500000,12000000,Jake O'Brien,IRL,DF,Lyon,fr Ligue 1,22,2001,27,27,2369,26.3,4,2,6,4,0,0,4,1,3.6,3.6,1.1,4.7,15,68,2,0.15,0.08,0.23,0.15,0.23,0.14,0.04,0.18,0.14,0.18
2024,7,24,24/25,Sevilla FC,Fenerbahce,19500000,20000000,Youssef En,MAR,FW,Sevilla,es La Liga,26,1997,33,28,2570,28.6,16,2,18,15,1,1,4,0,10.8,10,1.3,11.3,17,17,81,0.56,0.07,0.63,0.53,0.6,0.38,0.04,0.42,0.35,0.4
2025,1,31,24/25,Stade Rennais,Marseille,19000000,20000000,Amine Gouiri,ALG,"FW,MF",Rennes,fr Ligue 1,23,2000,31,24,2067,23,7,3,10,7,0,0,2,0,7.4,7.3,1.7,9.1,59,82,185,0.3,0.13,0.44,0.3,0.44,0.32,0.08,0.4,0.32,0.39
2024,7,18,24/25,FC Metz,Olympique Lyon,18500000,20000000,Georges Mikautadze,GEO,FW,Metz,fr Ligue 1,22,2000,20,20,1747,19.4,13,4,17,10,3,3,0,1,9.5,7.2,2.4,9.5,52,51,95,0.67,0.21,0.88,0.52,0.72,0.49,0.12,0.61,0.37,0.49
2025,2,3,24/25,Stade Reims,Wolves,18000000,10000000,Marshall Munetsi,ZIM,MF,Reims,fr Ligue 1,27,1996,27,25,2173,24.1,4,3,7,4,0,0,5,0,6.2,6.2,1,7.2,19,67,81,0.17,0.12,0.29,0.17,0.29,0.26,0.04,0.3,0.26,0.3
2024,8,30,24/25,VfL Wolfsburg,Crystal Palace,18000000,20000000,Maxence Lacroix,FRA,DF,Wolfsburg,de Bundesliga,23,2000,28,27,2362,26.2,4,1,5,4,0,0,5,3,0.8,0.8,0.8,1.7,5,79,5,0.15,0.04,0.19,0.15,0.19,0.03,0.03,0.06,0.03,0.06
2024,8,28,24/25,Southampton,Flamengo,18000000,15000000,Carlos Alcaraz,ARG,MF,Juventus,it Serie A,20,2002,10,3,380,4.2,0,1,1,0,0,0,0,0,0.4,0.4,0.1,0.5,6,27,9,0,0.24,0.24,0,0.24,0.09,0.03,0.12,0.09,0.12
2024,8,22,24/25,Toulouse,Villarreal,18000000,12000000,Logan Costa,CPV,DF,Toulouse,fr Ligue 1,22,2001,31,29,2650,29.4,1,1,2,1,0,0,6,0,1.4,1.4,0.6,2,19,145,14,0.03,0.03,0.07,0.03,0.07,0.05,0.02,0.07,0.05,0.07
2024,8,17,24/25,B. Leverkusen,TSG Hoffenheim,18000000,12000000,Adam Hlozek,CZE,"MF,FW",Leverkusen,de Bundesliga,21,2002,23,5,459,5.1,2,3,5,2,0,0,1,0,3.1,3.1,0.9,4,14,13,33,0.39,0.59,0.98,0.39,0.98,0.6,0.18,0.78,0.6,0.78
2024,7,18,24/25,VfB Stuttgart,Bor. Dortmund,18000000,40000000,Serhou Guirassy,GUI,FW,Stuttgart,de Bundesliga,27,1996,28,25,2208,24.5,28,3,31,24,4,4,0,0,20.8,17.6,6.6,24.2,32,56,183,1.14,0.12,1.26,0.98,1.1,0.85,0.27,1.12,0.72,0.99
2024,7,3,24/25,Marseille,Everton,18000000,15000000,Iliman Ndiaye,SEN,"FW,MF",Marseille,fr Ligue 1,23,2000,30,19,1618,18,3,3,6,3,0,0,0,1,4.5,4.5,2.6,7.1,51,62,152,0.17,0.17,0.33,0.17,0.33,0.25,0.15,0.39,0.25,0.39
2024,7,1,24/25,Girona,B. Leverkusen,18000000,25000000,Aleix García,ESP,MF,Girona,es La Liga,26,1997,37,36,3199,35.5,3,6,9,3,0,0,4,1,1.8,1.8,5.5,7.3,58,294,52,0.08,0.17,0.25,0.08,0.25,0.05,0.16,0.21,0.05,0.21
2024,7,1,24/25,KRC Genk,Burnley,18000000,12000000,Mike Trésor,BEL,"FW,MF",Burnley,eng Premier League,24,1999,16,3,420,4.7,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,15,10,31,0,0,0,0,0,0.1,0.08,0.18,0.1,0.18
